Temperatur for Cap.1 (°C);Ratio 350 nm / 330 nm for Cap.1;Temperatur for Cap.1 (°C);Turbidity for Cap.1;Temperatur for Cap.1 (°C);Cumulant Radius for Cap.1 (nm);Temperatur for Cap.2 (°C);Ratio 350 nm / 330 nm for Cap.2;Temperatur for Cap.2 (°C);Turbidity for Cap.2;Temperatur for Cap.2 (°C);Cumulant Radius for Cap.2 (nm)
25.0;1.0035;25.0;0.0001;25.0;5.020;25.0;1.0835;25.0;0.0006;25.0;5.320
25.5;1.0058;25.5;0.0001;25.5;5.021;25.5;1.0858;25.5;0.0006;25.5;5.321
26.0;1.0080;26.0;0.0001;26.0;5.022;26.0;1.0880;26.0;0.0006;26.0;5.322
26.5;1.0044;26.5;0.0001;26.5;5.023;26.5;1.0844;26.5;0.0006;26.5;5.323
27.0;1.0067;27.0;0.0001;27.0;5.024;27.0;1.0867;27.0;0.0006;27.0;5.324
27.5;1.0091;27.5;0.0001;27.5;5.026;27.5;1.0891;27.5;0.0006;27.5;5.326
28.0;1.0055;28.0;0.0001;28.0;5.027;28.0;1.0855;28.0;0.0006;28.0;5.327
28.5;1.0079;28.5;0.0001;28.5;5.028;28.5;1.0879;28.5;0.0006;28.5;5.328
29.0;1.0103;29.0;0.0001;29.0;5.030;29.0;1.0903;29.0;0.0006;29.0;5.330
29.5;1.0068;29.5;0.0001;29.5;5.031;29.5;1.0868;29.5;0.0006;29.5;5.331
30.0;1.0093;30.0;0.0001;30.0;5.033;30.0;1.0893;30.0;0.0006;30.0;5.333
30.5;1.0119;30.5;0.0001;30.5;5.035;30.5;1.0919;30.5;0.0006;30.5;5.335
31.0;1.0085;31.0;0.0001;31.0;5.036;31.0;1.0885;31.0;0.0006;31.0;5.336
31.5;1.0112;31.5;0.0001;31.5;5.038;31.5;1.0912;31.5;0.0006;31.5;5.338
32.0;1.0139;32.0;0.0001;32.0;5.040;32.0;1.0939;32.0;0.0006;32.0;5.340
32.5;1.0106;32.5;0.0002;32.5;5.042;32.5;1.0906;32.5;0.0007;32.5;5.342
33.0;1.0135;33.0;0.0002;33.0;5.044;33.0;1.0935;33.0;0.0007;33.0;5.344
33.5;1.0163;33.5;0.0002;33.5;5.047;33.5;1.0963;33.5;0.0007;33.5;5.347
34.0;1.0133;34.0;0.0002;34.0;5.049;34.0;1.0933;34.0;0.0007;34.0;5.349
34.5;1.0163;34.5;0.0002;34.5;5.051;34.5;1.0963;34.5;0.0007;34.5;5.351
35.0;1.0194;35.0;0.0002;35.0;5.054;35.0;1.0994;35.0;0.0007;35.0;5.354
35.5;1.0166;35.5;0.0002;35.5;5.057;35.5;1.0966;35.5;0.0007;35.5;5.357
36.0;1.0199;36.0;0.0002;36.0;5.060;36.0;1.0999;36.0;0.0007;36.0;5.360
36.5;1.0232;36.5;0.0002;36.5;5.063;36.5;1.1032;36.5;0.0007;36.5;5.363
37.0;1.0207;37.0;0.0002;37.0;5.066;37.0;1.1007;37.0;0.0007;37.0;5.366
37.5;1.0243;37.5;0.0002;37.5;5.069;37.5;1.1043;37.5;0.0007;37.5;5.369
38.0;1.0279;38.0;0.0002;38.0;5.072;38.0;1.1079;38.0;0.0007;38.0;5.372
38.5;1.0257;38.5;0.0002;38.5;5.076;38.5;1.1057;38.5;0.0007;38.5;5.376
39.0;1.0297;39.0;0.0002;39.0;5.080;39.0;1.1097;39.0;0.0007;39.0;5.380
39.5;1.0338;39.5;0.0002;39.5;5.084;39.5;1.1138;39.5;0.0007;39.5;5.384
40.0;1.0320;40.0;0.0002;40.0;5.088;40.0;1.1120;40.0;0.0007;40.0;5.388
40.5;1.0364;40.5;0.0002;40.5;5.092;40.5;1.1164;40.5;0.0007;40.5;5.392
41.0;1.0410;41.0;0.0002;41.0;5.097;41.0;1.1210;41.0;0.0007;41.0;5.397
41.5;1.0397;41.5;0.0002;41.5;5.102;41.5;1.1197;41.5;0.0007;41.5;5.402
42.0;1.0447;42.0;0.0002;42.0;5.107;42.0;1.1247;42.0;0.0007;42.0;5.407
42.5;1.0498;42.5;0.0003;42.5;5.112;42.5;1.1298;42.5;0.0008;42.5;5.412
43.0;1.0492;43.0;0.0003;43.0;5.117;43.0;1.1292;43.0;0.0008;43.0;5.417
43.5;1.0548;43.5;0.0003;43.5;5.123;43.5;1.1348;43.5;0.0008;43.5;5.423
44.0;1.0607;44.0;0.0003;44.0;5.129;44.0;1.1407;44.0;0.0008;44.0;5.429
44.5;1.0608;44.5;0.0003;44.5;5.136;44.5;1.1408;44.5;0.0008;44.5;5.436
45.0;1.0672;45.0;0.0003;45.0;5.142;45.0;1.1472;45.0;0.0008;45.0;5.442
45.5;1.0739;45.5;0.0003;45.5;5.149;45.5;1.1539;45.5;0.0008;45.5;5.449
46.0;1.0749;46.0;0.0003;46.0;5.156;46.0;1.1549;46.0;0.0008;46.0;5.456
46.5;1.0822;46.5;0.0003;46.5;5.164;46.5;1.1622;46.5;0.0008;46.5;5.464
47.0;1.0898;47.0;0.0003;47.0;5.172;47.0;1.1698;47.0;0.0008;47.0;5.472
47.5;1.0918;47.5;0.0003;47.5;5.180;47.5;1.1718;47.5;0.0008;47.5;5.480
48.0;1.1002;48.0;0.0003;48.0;5.189;48.0;1.1802;48.0;0.0008;48.0;5.489
48.5;1.1089;48.5;0.0003;48.5;5.198;48.5;1.1889;48.5;0.0008;48.5;5.498
49.0;1.1121;49.0;0.0003;49.0;5.207;49.0;1.1921;49.0;0.0008;49.0;5.507
49.5;1.1217;49.5;0.0004;49.5;5.217;49.5;1.2017;49.5;0.0009;49.5;5.517
50.0;1.1317;50.0;0.0004;50.0;5.228;50.0;1.2117;50.0;0.0009;50.0;5.528
50.5;1.1361;50.5;0.0004;50.5;5.238;50.5;1.2161;50.5;0.0009;50.5;5.538
51.0;1.1470;51.0;0.0004;51.0;5.250;51.0;1.2270;51.0;0.0009;51.0;5.550
51.5;1.1584;51.5;0.0004;51.5;5.261;51.5;1.2384;51.5;0.0009;51.5;5.561
52.0;1.1642;52.0;0.0004;52.0;5.273;52.0;1.2442;52.0;0.0009;52.0;5.573
52.5;1.1765;52.5;0.0004;52.5;5.286;52.5;1.2565;52.5;0.0009;52.5;5.586
